issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,1,"diversity,identity","- explore **diversity,identity** and culture",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,A space is missing after the comma separating 'diversity' and 'identity'.
1,1,30%of,Assessment Type: On-screen examination (2 hours) **30%of** qualification:72marks,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A space is missing between '30%' and 'of'.
2,1,world.You,...different cultures in Wales and the **world.You** will be able to build on theseideastocreateanddevelopyourowntheatre,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A space is missing after the full stop, creating a run-on between sentences."
3,1,"Unit 2,you","...peers. In **Unit 2,you** will work from a text of your choosing, also in a style of your choosing.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A space is missing after the comma.
4,1,A-level.Itwill,This qualification provides an excellent foundation forthestudyofDramaat**A-level.Itwill** alsoprovide a satisfying and worthwhile course of study for you ifyou choosenottostudyfurther.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A space is missing after the full stop, creating a run-on between sentences."
5,1,self-confidence.The,"...refinement,creativity and **self-confidence.The** careeroptionsthatcomefromstudyingDramaare extensive,buthereareafewofthoseoptions:",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A space is missing after the full stop, creating a run-on between sentences."
6,1,"Actor,Drama","**Actor,Drama** Therapist,Recruitment,ScenicMakeUp Artist, Marketing Executive, Casting Director, Producer,Events Management,Script Writer,Stage Manager, Primary school teacher, University Lecturer, Make up and Prosthetics Technician, Teacher, Community Arts Manager, Playwright, Lighting Designer,Costumer Designer,Workshop Leader, Sound Technician, Studio Supporting Artist,Theatre Agent,Arts Administrator,Theatre Manager, Dramaturg, Theatre/TV Director, Broadcasting Crew,Researcher.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A space is missing after the comma in the list of careers.
7,1,"Producer,Events","...Casting Director, **Producer,Events** Management,Script Writer,Stage Manager, Primary school teacher, University Lecturer, Make up and Prosthetics Technician, Teacher, Community Arts Manager, Playwright, Lighting Designer,Costumer Designer,Workshop Leader, Sound Technician, Studio Supporting Artist,Theatre Agent,Arts Administrator,Theatre Manager, Dramaturg, Theatre/TV Director, Broadcasting Crew,Researcher.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A space is missing after the comma in the list of careers.
8,1,"Designer,Costumer","...Playwright, Lighting **Designer,Costumer** Designer,Workshop Leader, Sound Technician, Studio Supporting Artist,Theatre Agent,Arts Administrator,Theatre Manager, Dramaturg, Theatre/TV Director, Broadcasting Crew,Researcher.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A space is missing after the comma in the list of careers.
9,1,"Crew,Researcher.","...Dramaturg, Theatre/TV Director, Broadcasting **Crew,Researcher**.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A space is missing after the comma in the list of careers.
